id,provider,utility_type,audience,title,url,filename,downloaded_at,content_type,notes,status,sha256,page_count
arera_bolletta_315_allegato_a,arera,dual,unknown,ARERA Allegato A 315/2024/R/com,https://www.arera.it/fileadmin/allegati/docs/24/315-2024-R-com-ALLEGATO_A.pdf,arera__dual__unknown__315-2024-allegato-a.pdf,2026-04-22T11:26:37.009183+00:00,application/pdf,Regulatory reference for the revised Bolletta 2.0 presentation. | verified_pdf=true,downloaded,b62c0613c4bb13cd08166f3298d06c48a62cfb4e99fce85e891a5be0e7e8062c,27
arera_bolletta_315_new_allegato,arera,dual,unknown,ARERA Allegato A 315/24 new,https://www.arera.it/fileadmin/allegati/docs/24/Allegato_A_315-24_new.pdf,arera__dual__unknown__315-24-new.pdf,2026-04-22T11:26:38.541244+00:00,application/pdf,Updated facsimile/reference layout. | verified_pdf=true,downloaded,5c9486020f7aed27fba0ae8bf56abef959f074a0814efa71c6838972d8ea72a4,29
arera_bolletta_315_delibera,arera,dual,unknown,ARERA Delibera 315/2024/R/com,https://www.arera.it/fileadmin/allegati/docs/24/315-2024-R-com.pdf,arera__dual__unknown__315-2024-delibera.pdf,2026-04-22T11:26:39.533640+00:00,application/pdf,Primary regulatory decision. | verified_pdf=true,downloaded,e5e6823c233cfc97f26c547c88b69debf81278e4a595cc27b105e9e3a511788b,27
arera_bolletta_315_testo_integrato,arera,dual,unknown,ARERA 315-2024 testo integrato,https://www.arera.it/fileadmin/allegati/docs/24/315-2024_ti.pdf,arera__dual__unknown__315-2024-ti.pdf,2026-04-22T11:26:43.107337+00:00,application/pdf,Integrated text for bill presentation rules. | verified_pdf=true,downloaded,348f80afa4e742085c85070a9c020ee0565f005278bca0a2b04df3f7e2f176ec,27
arera_bolletta_441_22st,arera,dual,unknown,ARERA scheda tecnica 441-22st,https://www.arera.it/fileadmin/allegati/schede/441-22st.pdf,arera__dual__unknown__441-22st.pdf,2026-04-22T11:26:44.234322+00:00,application/pdf,Consultation/update reference for Bolletta 2.0 transparency. | verified_pdf=true,downloaded,6b11229ca43a03608bd646711ef8e7cae5b4d8de7904442ff6e400d94bb3fec0,2
agenzia_entrate_consultazione_fe,agenzia_entrate,other,business,Guida consultazione fatture elettroniche ricevute,https://telematici.agenziaentrate.gov.it/pdf/Guida-consultazione-FE-consumatori.pdf,agenzia-entrate__other__business__guida-consultazione-fe.pdf,2026-04-22T11:26:45.206727+00:00,application/pdf,E-invoice terminology and consultation guide used for field naming only. | verified_pdf=true,downloaded,a255f44b93c8ccd071e41dbf8a308af55c0075b08673c7ebbc31e8482fdeebea,4
enel_luce_casa_fix,enel,electricity,domestic,Enel bolletta luce casa fix,https://www.enel.it/content/dam/asset/documenti/blog/guide/guida-alla-bolletta/bollette-luce-casa/fix.pdf,enel__electricity__domestic__luce-casa-fix.pdf,2026-04-22T11:26:47.911639+00:00,application/pdf,Residential electricity facsimile/guide. | verified_pdf=true,downloaded,dc1e103a466b1eac5bb4a996ec5e0f33b95f568ebac05b8252eedc71f91bb7c2,1
enel_luce_casa_flex,enel,electricity,domestic,Enel bolletta luce casa flex,https://www.enel.it/content/dam/asset/documenti/blog/guide/guida-alla-bolletta/bollette-luce-casa/flex.pdf,,2026-04-22T11:26:50.495859+00:00,,Residential electricity flex example. | download_error=URLError:<urlopen error [Errno -2] Name or service not known>,failed,,
enel_luce_casa_fasce,enel,electricity,domestic,Enel bolletta luce casa fasce,https://www.enel.it/content/dam/asset/documenti/blog/guide/guida-alla-bolletta/bollette-luce-casa/fasce.pdf,enel__electricity__domestic__luce-casa-fasce.pdf,2026-04-22T11:27:13.251492+00:00,application/pdf,Residential electricity time-of-use example. | verified_pdf=true,downloaded,ed78fc65a38da766194863b3f0de9cecc6d4f7462899e542df9d04b65db1c1a0,1
enel_gas_casa_fix,enel,gas,domestic,Enel bolletta gas casa fix,https://www.enel.it/content/dam/asset/documenti/blog/guide/guida-alla-bolletta/bollette-gas-casa/fix.pdf,enel__gas__domestic__gas-casa-fix.pdf,2026-04-22T11:27:36.675971+00:00,application/pdf,Residential gas example. | verified_pdf=true,downloaded,2cde2f46f5056c7841d410ac41383d659c200ef98f675d94996743d232facb76,1
